row.names,Accession,MW.[kDa]
P58771,P58771,32.7
Q8VEK3,Q8VEK3,87.9
Q03265,Q03265,59.7
P16858,P16858,35.8
Q9QYR6,Q9QYR6,300
Q01853,Q01853,89.3
Q61768,Q61768,109.5
Q61555,Q61555,313.6
O08788,O08788,141.6
O88990,O88990,103
Q6URW6,Q6URW6,228.4
Q04447,Q04447,42.7
Q62188,Q62188,61.9
Q9CU62,Q9CU62,143.1
E9Q7G0,E9Q7G0,235.5
P19096,P19096,272.3
P14824,P14824,75.8
Q921I1,Q921I1,76.7
P40142,P40142,67.6
G5E829,G5E829,134.7
P48722,P48722,94.3
Q64511,Q64511,181.8
Q91XV3,Q91XV3,22.1
Q99KI0,Q99KI0,85.4
Q8K0E8,Q8K0E8,54.7
P68372,P68372,49.8
P27773,P27773,56.6
P49194,P49194,134.4
Q69ZN7,Q69ZN7,233.2
P26040,P26040,69.4
P99024,P99024,49.6
Q91V92,Q91V92,119.7
Q61595,Q61595,152.5
P17710,P17710,108.2
O88569,O88569,37.4
Q02788,Q02788,110.3
P15105,P15105,42.1
P09405,P09405,76.7
Q60675,Q60675,343.6
Q61001,Q61001,403.8
P27664,P27664,99.5
P62259,P62259,29.2
P08113,P08113,92.4
O55143,O55143,114.8
F6ZDS4,F6ZDS4,273.8
Q8VIJ6,Q8VIJ6,75.4
P58252,P58252,95.3
P35441,P35441,129.6
Q9R0K7,Q9R0K7,132.5
Q99P72,Q99P72,126.5
Q9DBJ1,Q9DBJ1,28.8
Q8CGC7,Q8CGC7,170
Q99PV0,Q99PV0,273.4
P20357,P20357,199
P07310,P07310,43
P38647,P38647,73.4
P26043,P26043,68.5
Q60597,Q60597,116.4
Q9QW08,Q9QW08,28
Q8CHC4,Q8CHC4,172.5
Q8VDJ3,Q8VDJ3,141.7
Q9D0E1,Q9D0E1,77.6
Q8K310,Q8K310,94.6
P48193,P48193,95.9
Q9JKF1,Q9JKF1,188.6
P10126,P10126,50.1
Q9Z2D6,Q9Z2D6,52.3
Q80TJ1,Q80TJ1,153
Q9CW03,Q9CW03,141.5
P06151,P06151,36.5
P21619,P21619,67.3
P06745,P06745,62.7
Q9D6F9,Q9D6F9,49.6
Q8BL66,Q8BL66,160.8
Q9CWF2,Q9CWF2,49.9
P07356,P07356,38.7
Q61147,Q61147,121.1
Q3UNH4,Q3UNH4,95.4
O08528,O08528,102.5
P35564,P35564,67.2
P23440,P23440,98.5
Q00PI9,Q00PI9,84.9
Q7TMM9,Q7TMM9,49.9
P21550,P21550,47
Q99JF8,Q99JF8,59.7
Q80YX1,Q80YX1,231.7
Q99K48,Q99K48,54.5
P39053,P39053,97.7
P50516,P50516,68.3
P03995,P03995,49.9
Q91VD9,Q91VD9,79.7
Q3U0V1,Q3U0V1,76.7
P97457,P97457,18.9
P21107,P21107,33
P26443,P26443,61.3
Q9WVL4,Q9WVL4,63.8
P61979,P61979,50.9
Q8CI94,Q8CI94,96.7
P31001,P31001,53.5
Q8VHX6,Q8VHX6,290.9
A2AAJ9,A2AAJ9,966
P43277,P43277,22.1
O35600,O35600,260
Q62318,Q62318,88.8
Q61696,Q61696,70
P62696,P62696,23.4
Q8K2B3,Q8K2B3,72.5
Q8R081,Q8R081,63.9
P17426,P17426,107.6
Q9WTQ5,Q9WTQ5,180.6
Q60864,Q60864,62.5
P08032,P08032,279.7
Q922U2,Q922U2,61.7
P42932,P42932,59.5
P05977,P05977,20.6
Q569Z6,Q569Z6,108.1
A2ASQ1,A2ASQ1,207.4
P05063,P05063,39.4
Q9JJZ2,Q9JJZ2,50
O88342,O88342,66.4
Q61656,Q61656,69.2
P60879,P60879,23.3
P40124,P40124,51.5
Q8BG05,Q8BG05,39.6
Q11011,Q11011,103.3
P43274,P43274,22
Q9JIX8,Q9JIX8,150.6
Q3URD3,Q3URD3,96.9
Q7TMY8,Q7TMY8,482.3
P15864,P15864,21.3
Q6ZQ38,Q6ZQ38,136.2
P11679,P11679,54.5
P80316,P80316,59.6
P10637,P10637,76.2
Q99NB9,Q99NB9,145.7
P63038,P63038,60.9
P23116,P23116,161.8
P17183,P17183,47.3
P05202,P05202,47.4
Q91VR5,Q91VR5,82.4
P63158,P63158,24.9
P12382,P12382,85.3
Q62234,Q62234,185.3
O88737,O88737,418.6
Q8BFR5,Q8BFR5,49.5
Q9Z1G4,Q9Z1G4,96.4
P08553,P08553,95.9
P62874,P62874,37.4
Q9ERG0,Q9ERG0,84
Q6PDQ2,Q6PDQ2,217.6
Q8BPN8,Q8BPN8,338
Q8BGQ7,Q8BGQ7,106.8
P61922,P61922,56.4
P97427,P97427,62.1
Q60932,Q60932,32.3
Q61598,Q61598,50.5
P08249,P08249,35.6
P08003,P08003,71.9
Q61644,Q61644,50.5
P14211,P14211,48
P0DP27,P0DP27,16.8
Q8BMK4,Q8BMK4,63.7
O88322,O88322,153.8
Q6P4T2,Q6P4T2,244.4
Q3U1J4,Q3U1J4,126.8
E9PV24,E9PV24,87.4
Q9ERU9,Q9ERU9,340.9
Q9ERD7,Q9ERD7,50.4
A2AQP0,A2AQP0,221.4
Q91V14,Q91V14,126.2
P09103,P09103,57
P06909,P06909,139
Q501J6,Q501J6,72.4
P63101,P63101,27.8
O70133,O70133,149.4
Q9DB77,Q9DB77,48.2
O08539,O08539,64.4
Q02819,Q02819,53.4
Q9Z275,Q9Z275,36.4
O55131,O55131,50.5
P47857,P47857,85.2
P17751,P17751,32.2
Q5XKE0,Q5XKE0,127.3
Q8BVE3,Q8BVE3,55.8
P20918,P20918,90.7
P21981,P21981,77
Q6Q477,Q6Q477,133
P47739,P47739,50.4
Q9WU78,Q9WU78,96
Q93092,Q93092,37.4
Q9DBG3,Q9DBG3,104.5
P18872,P18872,40.1
Q9WUA3,Q9WUA3,85.4
O88844,O88844,46.6
P46660,P46660,55.3
Q8C2Q3,Q8C2Q3,69.4
Q91WC3,Q91WC3,78
Q04750,Q04750,90.8
Q9D819,Q9D819,32.6
P62631,P62631,50.4
Q91XM9,Q91XM9,94.8
P68254,P68254,27.8
Q05920,Q05920,129.6
Q9QYX7,Q9QYX7,550.5
P00920,P00920,29
P97449,P97449,109.6
Q91WQ3,Q91WQ3,59.1
P18760,P18760,18.5
P24527,P24527,69
P47738,P47738,56.5
P17427,P17427,104
P50247,P50247,47.7
D3YXK2,D3YXK2,105
Q9QZ47,Q9QZ47,32.2
B2RXS4,B2RXS4,206.1
P49312,P49312,34.2
Q9D8N0,Q9D8N0,50
Q6PB66,Q6PB66,156.5
O88935,O88935,74.1
Q8BTI8,Q8BTI8,294.7
P26231,P26231,100
P02088,P02088,15.8
Q8K4Z5,Q8K4Z5,88.5
Q61543,Q61543,133.6
P48962,P48962,32.9
Q8R0Y6,Q8R0Y6,98.6
Q6P8J7,Q6P8J7,47.4
P62814,P62814,56.5
Q61414,Q61414,49.1
P46096,P46096,47.4
Q9QYC0,Q9QYC0,80.6
P17156,P17156,69.6
Q8CIE6,Q8CIE6,138.3
P48036,P48036,35.7
Q9CZ13,Q9CZ13,52.8
Q99LX0,Q99LX0,20
P11531,P11531,425.6
Q9Z1T2,Q9Z1T2,106.3
Q7TMK9,Q7TMK9,69.6
P11983,P11983,60.4
Q8BGD9,Q8BGD9,68.8
O70624,O70624,55.3
P28653,P28653,41.6
O35643,O35643,103.9
P50149,P50149,40.1
Q64518,Q64518,113.6
Q5SUR0,Q5SUR0,144.5
O35678,O35678,33.4
P13020,P13020,85.9
P61264,P61264,33.2
Q8BH59,Q8BH59,74.5
A6H584,A6H584,289.4
P70296,P70296,20.8
Q61553,Q61553,54.5
P70168,P70168,97.1
Q61781,Q61781,52.8
Q8C854,Q8C854,63.3
P80315,P80315,58
Q8QZT1,Q8QZT1,44.8
O35887,O35887,37
P32067,P32067,47.7
Q9Z1G3,Q9Z1G3,43.9
Q8BHB9,Q8BHB9,62.8
Q78PY7,Q78PY7,102
Q61029,Q61029,50.3
Q7TQF7,Q7TQF7,75
P30416,P30416,51.5
Q9D1A2,Q9D1A2,52.7
P47962,P47962,34.4
P39447,P39447,194.6
Q8VDM4,Q8VDM4,100.1
P50580,P50580,43.7
Q80SW1,Q80SW1,58.9
Q61335,Q61335,27.9
Q7TQ48,Q7TQ48,99.1
Q6PDG5,Q6PDG5,132.5
P80314,P80314,57.4
P35486,P35486,43.2
P30681,P30681,24.1
Q99LF4,Q99LF4,55.2
Q3UQ44,Q3UQ44,180.4
O55029,O55029,102.4
O35098,O35098,61.9
Q64331,Q64331,146.3
P28663,P28663,33.5
P47708,P47708,75.4
G5E8K5,G5E8K5,213.9
P50396,P50396,50.5
Q9EQ20,Q9EQ20,57.9
Q02248,Q02248,85.4
O70250,O70250,28.8
Q91YT0,Q91YT0,50.8
Q8CCK0,Q8CCK0,40.1
P70398,P70398,290.5
Q9Z1N5,Q9Z1N5,49
P80318,P80318,60.6
Q922B2,Q922B2,57.1
Q60668,Q60668,38.3
P29812,P29812,58.5
P14152,P14152,36.5
Q9DCD0,Q9DCD0,53.2
P28654,P28654,39.8
P30275,P30275,47
Q9Z1Z0,Q9Z1Z0,106.9
P09055,P09055,88.2
P68510,P68510,28.2
P62908,P62908,26.7
Q9CZW5,Q9CZW5,67.5
Q76MZ3,Q76MZ3,65.3
Q91VM5,Q91VM5,42.1
Q569Z5,Q569Z5,117.4
Q9Z1X4,Q9Z1X4,96
Q8R1B4,Q8R1B4,105.5
Q8K0T0,Q8K0T0,83.5
O08749,O08749,54.2
O35737,O35737,49.2
Q9JMH9,Q9JMH9,232.6
P97807,P97807,54.3
Q3UHJ0,Q3UHJ0,103.3
O55201,O55201,120.6
Q61233,Q61233,70.1
Q6NZJ6,Q6NZJ6,176
Q61191,Q61191,210.3
Q8R1Q8,Q8R1Q8,56.6
P04247,P04247,17.1
Q8BHN3,Q8BHN3,106.8
P10605,P10605,37.3
P43276,P43276,22.6
P05201,P05201,46.2
Q91X72,Q91X72,51.3
Q62420,Q62420,39.9
Q62009,Q62009,93.1
P05784,P05784,47.5
Q00612,Q00612,59.2
P97351,P97351,29.9
Q91VI7,Q91VI7,49.8
Q8R1W8,Q8R1W8,89.4
P53810,P53810,31.9
Q99LC5,Q99LC5,35
P50608,P50608,43
P60843,P60843,46.1
P18572,P18572,42.4
P20801,P20801,18.1
Q8CJG0,Q8CJG0,97.2
Q9QZQ8,Q9QZQ8,39.7
P19324,P19324,46.5
Q9WV02,Q9WV02,42.3
Q61838,Q61838,165.7
Q4VA53,Q4VA53,164.3
Q3UPL0,Q3UPL0,133.5
Q8BFZ3,Q8BFZ3,42
P51859,P51859,26.3
Q9CWS0,Q9CWS0,31.4
Q9ET01,Q9ET01,97.4
D3Z7H8,D3Z7H8,125.9
Q9Z1F9,Q9Z1F9,70.5
Q61646,Q61646,38.7
P16125,P16125,36.5
P10493,P10493,136.5
Q9D0R2,Q9D0R2,83.3
O09165,O09165,46.3
Q9D0F9,Q9D0F9,61.4
Q61937,Q61937,32.5
Q62433,Q62433,43
P20444,P20444,76.8
Q6P5E4,Q6P5E4,176.3
P62806,P62806,11.4
Q9Z204,Q9Z204,34.4
Q9DCX2,Q9DCX2,18.7
Q61597,Q61597,20.9
Q8BWT1,Q8BWT1,41.8
Q99L47,Q99L47,41.6
Q811D0,Q811D0,100.1
Q8CGP1,Q8CGP1,13.9
Q9CQV8,Q9CQV8,28.1
Q00915,Q00915,15.8
Q9CZ44,Q9CZ44,40.7
Q3TXS7,Q3TXS7,105.7
P62880,P62880,37.3
P09602,P09602,9.4
P97300,P97300,44.3
P28738,P28738,109.2
Q7TNC4,Q7TNC4,46.6
O08810,O08810,109.3
Q91WJ8,Q91WJ8,68.5
Q5SWU9,Q5SWU9,265.1
Q9QWL7,Q9QWL7,48.1
Q9WV34,Q9WV34,61.5
Q9CPV4,Q9CPV4,33.3
P14094,P14094,35.2
P50446,P50446,59.3
Q9WVJ5,Q9WVJ5,28
P61982,P61982,28.3
D3Z7P3,D3Z7P3,73.9
Q3UTJ2,Q3UTJ2,132.3
Q9JIF7,Q9JIF7,107
P22599,P22599,45.9
Q60710,Q60710,75.8
Q9JME5,Q9JME5,119.1
Q9Z315,Q9Z315,90.8
Q9R1T2,Q9R1T2,38.6
O55023,O55023,30.4
Q9CZU6,Q9CZU6,51.7
O35639,O35639,36.4
Q6IRU2,Q6IRU2,28.5
Q9D394,Q9D394,53
Q8BP92,Q8BP92,37.2
Q4KMM3,Q4KMM3,95.9
Q60930,Q60930,31.7
P80313,P80313,59.6
Q8BRT1,Q8BRT1,140.7
Q9CQQ7,Q9CQQ7,28.9
Q61033,Q61033,75.1
P28798,P28798,63.4
P29341,P29341,70.6
P18242,P18242,44.9
Q60598,Q60598,61.2
Q9CY58,Q9CY58,44.7
Q9R1P4,Q9R1P4,29.5
Q91YQ5,Q91YQ5,68.5
Q61301,Q61301,105.2
P28665,P28665,165.2
P14148,P14148,31.4
Q8BGC0,Q8BGC0,86.2
Q91VR2,Q91VR2,32.9
Q9Z0U1,Q9Z0U1,131.2
P48758,P48758,30.6
Q9Z0P4,Q9Z0P4,41.6
A2AGT5,A2AGT5,225.5
Q99LD8,Q99LD8,29.6
Q810U3,Q810U3,137.9
Q08331,Q08331,31.4
P35550,P35550,34.3
P07147,P07147,60.7
Q8K1M6,Q8K1M6,82.6
P32921,P32921,54.3
O54774,O54774,135
P32848,P32848,11.9
P29758,P29758,48.3
Q9DB05,Q9DB05,33.2
P51881,P51881,32.9
P08121,P08121,138.9
Q8BP47,Q8BP47,64.2
Q9DBF1,Q9DBF1,58.8
Q8K010,Q8K010,137.5
O35954,O35954,134.9
Q9EQP2,Q9EQP2,61.4
Q6IFX2,Q6IFX2,50.1
P17742,P17742,18
P57722,P57722,39.3
P19246,P19246,116.9
Q9D379,Q9D379,52.5
Q00623,Q00623,30.6
Q9WTP7,Q9WTP7,25.4
P10649,P10649,26
P08551,P08551,61.5
P08752,P08752,40.5
O54828,O54828,76.9
Q9WTI7,Q9WTI7,121.9
Q9DBR7,Q9DBR7,114.9
Q9JKR6,Q9JKR6,111.1
Q80XI3,Q80XI3,174.8
P12970,P12970,30
P24270,P24270,59.8
Q9D8E6,Q9D8E6,47.1
P08730,P08730,47.7
Q99KJ8,Q99KJ8,44.1
Q64525,Q64525,13.9
Q00898,Q00898,45.9
Q8BLQ9,Q8BLQ9,47.5
Q8VCM7,Q8VCM7,49.4
P70333,P70333,49.2
Q9QUR6,Q9QUR6,80.7
P02469,P02469,197
Q9DC07,Q9DC07,31.1
Q9JLV5,Q9JLV5,88.9
Q01405,Q01405,86.1
Q5XG69,Q5XG69,73.2
Q9D2U9,Q9D2U9,14
Q3TEA8,Q3TEA8,60.8
P07758,P07758,46
Q9Z2I9,Q9Z2I9,50.1
O08709,O08709,24.9
Q8BZ98,Q8BZ98,97.1
Q99K51,Q99K51,70.7
Q61012,Q61012,8.5
Q8R1B5,Q8R1B5,17.6
Q6P8X1,Q6P8X1,46.6
P10854,P10854,13.9
P14685,P14685,60.7
P54227,P54227,17.3
Q99MR6,Q99MR6,100.4
P58281,P58281,111.3
P50544,P50544,70.8
Q6A4J8,Q6A4J8,128.4
P12960,P12960,113.3
P52785,P52785,120.6
Q6PHZ2,Q6PHZ2,56.3
O88532,O88532,116.8
O35381,O35381,28.5
Q80U28,Q80U28,175.1
Q9EQH3,Q9EQH3,91.7
E9PZQ0,E9PZQ0,564.7
P42669,P42669,34.9
Q9R0P5,Q9R0P5,18.5
Q8VDC1,Q8VDC1,162.2
Q64012,Q64012,33.2
Q9D5V5,Q9D5V5,90.9
Q9CX86,Q9CX86,30.5
Q9Z2Q6,Q9Z2Q6,42.7
Q9R0G6,Q9R0G6,82.3
Q61792,Q61792,30
P68040,P68040,35.1
Q8K0U4,Q8K0U4,74.8
Q69Z99,Q69Z99,63.9
Q8BIJ6,Q8BIJ6,112.7
Q91ZW3,Q91ZW3,121.6
Q6GQT9,Q6GQT9,133.3
Q9D8W5,Q9D8W5,52.9
P10107,P10107,38.7
Q8VDP4,Q8VDP4,102.9
Q9Z331,Q9Z331,60.3
P26638,P26638,58.4
Q99PT1,Q99PT1,23.4
P45376,P45376,35.7
Q91ZA3,Q91ZA3,79.9
P84091,P84091,49.6
Q62167,Q62167,73.1
P08228,P08228,15.9
Q02357,Q02357,204.1
O35286,O35286,90.9
Q9QXS6,Q9QXS6,77.2
Q64524,Q64524,14
P56959,P56959,52.6
Q9CZD3,Q9CZD3,81.8
P51150,P51150,23.5
Q6ZWR6,Q6ZWR6,1009.3
P10852,P10852,58.3
Q9JIS5,Q9JIS5,82.6
P35700,P35700,22.2
P52825,P52825,73.9
P10711,P10711,33.9
Q9JII6,Q9JII6,36.6
Q8VEM8,Q8VEM8,39.6
Q99KK7,Q99KK7,82.8
Q9JLI8,Q9JLI8,109.6
Q3UKJ7,Q3UKJ7,57.5
Q922J3,Q922J3,155.7
Q91ZU6,Q91ZU6,833.7
P10630,P10630,46.4
Q9WTM5,Q9WTM5,51.1
Q60854,Q60854,42.6
P09470,P09470,150.8
P06801,P06801,63.9
Q9Z273,Q9Z273,60.3
Q05D44,Q05D44,137.5
Q9Z2K1,Q9Z2K1,51.6
P99027,P99027,11.6
Q00897,Q00897,46
P51660,P51660,79.4
P13412,P13412,21.3
Q8BMS1,Q8BMS1,82.6
Q9EPU0,Q9EPU0,123.9
Q9Z1Q9,Q9Z1Q9,140.1
Q9D6R2,Q9D6R2,39.6
P51125,P51125,84.9
Q9D051,Q9D051,38.9
Q6P542,Q6P542,94.9
Q9JIK5,Q9JIK5,93.5
Q62095,Q62095,73.4
P04342,P04342,21.1
Q9CVB6,Q9CVB6,34.3
Q9QUM9,Q9QUM9,27.4
Q7TNV0,Q7TNV0,43.1
Q68FL4,Q68FL4,66.9
P62821,P62821,22.7
P63330,P63330,35.6
Q80WM3,Q80WM3,18.3
O08795,O08795,58.8
P15331,P15331,54.2
Q9CRB9,Q9CRB9,26.3
Q921M3,Q921M3,135.5
O35136,O35136,93.1
P47757,P47757,31.3
Q9R069,Q9R069,67.6
Q91V41,Q91V41,23.9
O88447,O88447,61.4
P47754,P47754,32.9
Q9D0I9,Q9D0I9,75.6
Q60737,Q60737,45.1
Q8C1B7,Q8C1B7,49.7
O08784,O08784,134.9
Q6PDN3,Q6PDN3,212.8
Q8K019,Q8K019,105.9
Q9DBC7,Q9DBC7,43.2
Q99MN1,Q99MN1,67.8
Q8BKC5,Q8BKC5,123.5
P54071,P54071,50.9
Q9D0K2,Q9D0K2,56
Q99K85,Q99K85,40.4
Q91WD9,Q91WD9,32.1
Q6PDM2,Q6PDM2,27.7
O88544,O88544,46.3
Q9Z0F7,Q9Z0F7,13.2
Q91VW5,Q91VW5,257.4
Q80YR5,Q80YR5,111.8
O88685,O88685,49.5
P62881,P62881,43.5
Q922R8,Q922R8,48.1
P28660,P28660,128.7
Q91VM9,Q91VM9,38.1
P60335,P60335,37.5
Q8CCT4,Q8CCT4,22
P47911,P47911,33.5
Q8K021,Q8K021,38
P62983,P62983,17.9
B2RQC6,B2RQC6,243.1
Q9Z277,Q9Z277,170.5
Q0VBD0,Q0VBD0,84.5
Q07076,Q07076,49.9
Q99JI4,Q99JI4,45.5
Q3UM45,Q3UM45,41.3
Q70IV5,Q70IV5,173.1
Q810U4,Q810U4,138.4
Q9QZQ1,Q9QZQ1,206.4
Q9EQF6,Q9EQF6,61.5
P08775,P08775,217
Q9WVE8,Q9WVE8,55.8
Q99LC3,Q99LC3,40.6
P35235,P35235,68
P70336,P70336,160.5
P08226,P08226,35.8
O35841,O35841,56.8
P28650,P28650,50.2
P28352,P28352,35.5
Q91WD5,Q91WD5,52.6
Q9R1P0,Q9R1P0,29.5
Q60605,Q60605,16.9
P01942,P01942,15.1
Q8BUK6,Q8BUK6,83.2
Q99K41,Q99K41,107.5
Q9EP69,Q9EP69,66.9
Q8C1A5,Q8C1A5,78
Q64378,Q64378,50.9
Q922F4,Q922F4,50.1
P42125,P42125,32.2
P56399,P56399,95.8
Q3THK7,Q3THK7,76.7
P37040,P37040,77
P30999,P30999,104.9
Q9QYI3,Q9QYI3,56.4
O35685,O35685,38.3
O08677,O08677,73.1
Q8R0A7,Q8R0A7,46.3
P62715,P62715,35.6
P80317,P80317,58
Q9D554,Q9D554,58.8
P62751,P62751,17.7
Q8BFZ9,Q8BFZ9,37.8
Q9CWK8,Q9CWK8,58.4
Q62376,Q62376,52
Q80TB8,Q80TB8,45.8
O54724,O54724,43.9
Q8BI84,Q8BI84,213.5
P83917,P83917,21.4
Q9JLB0,Q9JLB0,62.6
Q7TQI3,Q7TQI3,31.3
Q6P9K8,Q6P9K8,150.4
P62192,P62192,49.2
Q9EPX2,Q9EPX2,138.8
P55012,P55012,131
Q99020,Q99020,30.8
Q8BWF0,Q8BWF0,55.9
Q61164,Q61164,83.7
Q62465,Q62465,43.1
Q6A0A9,Q6A0A9,121.6
Q8BK67,Q8BK67,55.9
Q8CHT0,Q8CHT0,61.8
P31230,P31230,34
P11881,P11881,313
P42208,P42208,41.5
P70404,P70404,42.8
Q3TLH4,Q3TLH4,310.7
P16460,P16460,46.6
E9Q9K5,E9Q9K5,77.8
Q61990,Q61990,38.2
Q8CIB5,Q8CIB5,77.8
P50096,P50096,55.2
P70441,P70441,38.6
Q61699,Q61699,96.3
Q9CZX8,Q9CZX8,16.1
P21614,P21614,53.6
O54988,O54988,141.4
Q810A7,Q810A7,101.9
Q9WV80,Q9WV80,58.9
Q9QX47,Q9QX47,265.5
Q8JZQ2,Q8JZQ2,89.5
O54865,O54865,70.6
P04344,P04344,21.1
P63011,P63011,25
Q9QUI0,Q9QUI0,21.8
Q03740,Q03740,21.2
Q8CGK3,Q8CGK3,105.8
Q8BG39,Q8BG39,77.4
P54775,P54775,47.4
Q9CYI4,Q9CYI4,43.9
Q91ZJ5,Q91ZJ5,56.9
Q8K4G5,Q8K4G5,96.7
Q9Z0X1,Q9Z0X1,66.7
P24622,P24622,22.5
P02535,P02535,57.7
Q9Z2R6,Q9Z2R6,27
P12658,P12658,30
Q60902,Q60902,99.2
Q9CPY7,Q9CPY7,56.1
P25976,P25976,89.5
P97315,P97315,20.6
P01864,P01864,36.6
P28474,P28474,39.5
Q9Z0R4,Q9Z0R4,194.2
P51885,P51885,38.2
Q9Z0H8,Q9Z0H8,115.8
P47199,P47199,35.2
Q9R190,Q9R190,75
Q9EQK5,Q9EQK5,95.9
Q9CZU3,Q9CZU3,117.6
P34057,P34057,23.4
Q3UEB3,Q3UEB3,60.2
P07759,P07759,46.9
P28740,P28740,79.7
Q60676,Q60676,56.8
Q8BYI9,Q8BYI9,149.5
Q8BML9,Q8BML9,87.6
Q5SYD0,Q5SYD0,116
Q8R050,Q8R050,68.6
P14206,P14206,32.8
B2RY56,B2RY56,99.5
P09242,P09242,57.5
P63242,P63242,16.8
P16045,P16045,14.9
Q7TQH0,Q7TQH0,110.6
P28661,P28661,54.9
O70435,O70435,28.4
A2A5R2,A2A5R2,202.1
P19536,P19536,13.8
P02525,P02525,23.4
Q8VDM6,Q8VDM6,95.9
P46471,P46471,48.6
Q64105,Q64105,27.9
P23198,P23198,20.8
P43406,P43406,115.3
Q9D024,Q9D024,55.8
P14231,P14231,33.3
P97447,P97447,31.9
Q9JK53,Q9JK53,43.3
Q8R0S2,Q8R0S2,107.9
Q99LI8,Q99LI8,86
P23927,P23927,20.1
Q8C6K9,Q8C6K9,246.2
Q9D7B6,Q9D7B6,45
Q8BH95,Q8BH95,31.5
P62334,P62334,44.1
A2AN08,A2AN08,571.9
E9Q3L2,E9Q3L2,236.9
Q8C0M9,Q8C0M9,33.9
Q9D0M3,Q9D0M3,35.3
Q8BVI4,Q8BVI4,25.6
Q6R891,Q6R891,89.5
Q9CR16,Q9CR16,40.7
Q9JLN9,Q9JLN9,288.6
P06837,P06837,23.6
Q9WV55,Q9WV55,27.8
Q61753,Q61753,56.5
Q61655,Q61655,53.9
Q62000,Q62000,34
Q9QYB8,Q9QYB8,80.6
P01867,P01867,44.2
P17563,P17563,52.5
Q9D172,Q9D172,28.1
P27659,P27659,46.1
P24549,P24549,54.4
Q9Z0N1,Q9Z0N1,51
P36993,P36993,42.8
Q61207,Q61207,61.4
O35691,O35691,82.4
Q80X80,Q80X80,76.3
O08532,O08532,124.6
P29974,P29974,79.4
A2ABU4,A2ABU4,161.7
Q91W50,Q91W50,88.7
Q91V12,Q91V12,42.5
P68404,P68404,76.7
Q9Z1D1,Q9Z1D1,35.6
Q9QXL2,Q9QXL2,186.4
A6X935,A6X935,104.6
Q922D8,Q922D8,101.1
Q3UW53,Q3UW53,102.6
Q6P5F9,Q6P5F9,123
Q91WS0,Q91WS0,12.1
P11031,P11031,14.4
Q9D0F3,Q9D0F3,57.8
O88487,O88487,68.4
P70670,P70670,220.4
Q91VC3,Q91VC3,46.8
Q9CWZ7,Q9CWZ7,34.7
Q9ESZ8,Q9ESZ8,112.2
Q91YR7,Q91YR7,106.7
Q99KK2,Q99KK2,48
P63005,P63005,46.6
Q01768,Q01768,17.4
P27601,P27601,44
Q5DTM8,Q5DTM8,113.5
P19157,P19157,23.6
P12367,P12367,45.4
P11103,P11103,113
Q8CHH9,Q8CHH9,49.8
Q99L13,Q99L13,35.4
Q9JKY5,Q9JKY5,119.4
Q08642,Q08642,76.2
Q8CH25,Q8CH25,116.9
Q8BMA6,Q8BMA6,70.5
Q8VCT3,Q8VCT3,72.4
Q9WTX5,Q9WTX5,18.7
